,id,source,created_at,tweet,in_reply_to_screen_name,favorite_count,retweet_count,is_quote_status,media_count,url_count,symbol_count,hashtag_count,mention_count,mention_total_follower_count,mention_total_status_count,is_retweet,retweet_id,retweet_user_follower_count,retweet_user_friend_count,retweet_user_favorites_count,retweet_user_status_count,retweet_retweet_count,retweet_favorite_count,quote_id,quote_user_follower_count,quote_user_friend_count,quote_user_favorites_count,quote_user_status_count,quote_retweet_count,quote_favorite_count,quote_full_text,quote_media_count,quote_url_count,quote_symbol_count,quote_hashtag_count,quote_mention_count,cleaned_text,keyword_match,cleaned_text_no_stopwords,sentiment,named_entities
0,1603075638700769281,TweetDeck,2022-12-14 17:13:10+00:00,Ten years ago I was reporting live on Sandy Hook for @NYTimes breaking news desk. Sobbing while typing...Thank you @CTMirror for this comprehensive package of sensitively told stories about that heartbreaking day.  https://t.co/4cIAsXP7pb,,30,6,False,0,1,0,0,2,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0,ten years ago i was reporting live on sandy hook for breaking news desk sobbing while typingthank you for this comprehensive package of sensitively told stories about that heartbreaking day ,True,"['ten', 'year', 'ago', 'reporting', 'live', 'sandy', 'hook', 'breaking', 'news', 'desk', 'sobbing', 'typingthank', 'comprehensive', 'package', 'sensitively', 'told', 'story', 'heartbreaking', 'day']",positive,"[('ten year ago', 'DATE'), ('typingthank', 'ORG')]"
1,1602683376808460289,TweetDeck,2022-12-13 15:14:28+00:00,RT @Documentedny: Documented is New York’s only newsroom that creates news with and for immigrants. Join our #NewsMatch fundraiser so we ca…,,0,1,False,0,0,0,1,1,0,0,True,1.6026603592019108e+18,6686.0,1359.0,4651.0,12834.0,1.0,1.0,,,,,,,,,0,0,0,0,0,rt documented is new yorks only newsroom that creates news with and for immigrants join our fundraiser so we ca,True,"['rt', 'documented', 'new', 'york', 'newsroom', 'creates', 'news', 'immigrant', 'join', 'fundraiser', 'ca']",positive,"[('new york', 'GPE')]"
2,1597639937741971458,TweetDeck,2022-11-29 17:13:38+00:00,"Hey New Yorkers, donate to @THECITYNY today and double your contribution on #GivingNewsDay |  The City is NYC's independent, nonpartisan, ambitious news operation holding the powerful to account and uplifting voices from all all five boroughs! #NewsMatch 
https://t.co/G9PGfGIeSD",,3,1,False,0,1,0,2,1,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0,hey new yorkers donate to today and double your contribution on  the city is nycs independent nonpartisan ambitious news operation holding the powerful to account and uplifting voices from all all five boroughs ,True,"['hey', 'new', 'yorkers', 'donate', 'today', 'double', 'contribution', 'city', 'nycs', 'independent', 'nonpartisan', 'ambitious', 'news', 'operation', 'holding', 'powerful', 'account', 'uplifting', 'voice', 'five', 'borough']",positive,"[('today', 'DATE'), ('five', 'CARDINAL')]"
3,1597610192023199744,TweetDeck,2022-11-29 15:15:26+00:00,"On this #GivingNewsDay, a big thanks to all the people  who produce the journalism and make the journalism possible.  Show your thanks by making a donation. @NewsMatch will double your donation. Find a newsroom here. https://t.co/ovOu9Itr4j",,1,0,False,0,1,0,1,1,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0,on this a big thanks to all the people who produce the journalism and make the journalism possible show your thanks by making a donation will double your donation find a newsroom here ,True,"['big', 'thanks', 'people', 'produce', 'journalism', 'make', 'journalism', 'possible', 'show', 'thanks', 'making', 'donation', 'double', 'donation', 'find', 'newsroom']",positive,[]
4,1597609235973656576,TweetDeck,2022-11-29 15:11:38+00:00,"Hey, it's #GivingNewsDay
Since 2016, the @NewsMatch campaign has helped raise over $223 million to jumpstart emerging nonprofit newsrooms and support independent media outlets that produce fact-based, nonpartisan news and information. Donate here: https://t.co/ovOu9Itr4j",,3,0,False,0,1,0,1,1,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0,hey its since 2016 the campaign has helped raise over 223 million to jumpstart emerging nonprofit newsrooms and support independent media outlets that produce factbased nonpartisan news and information donate here ,True,"['hey', 'since', '2016', 'campaign', 'helped', 'raise', '223', 'million', 'jumpstart', 'emerging', 'nonprofit', 'newsroom', 'support', 'independent', 'medium', 'outlet', 'produce', 'factbased', 'nonpartisan', 'news', 'information', 'donate']",positive,"[('2016', 'DATE'), ('223 million', 'CARDINAL'), ('nonpartisan news', 'ORG')]"
5,1597608491744731136,TweetDeck,2022-11-29 15:08:41+00:00,"Now here's a good reason to get back on the Twitter. 

Share this: 

Today is #GivingNewsDay. #NewsMatch is matching donations to hundreds of nonprofit news organizations around the country.  You can choose a nonprofit to support here! 

https://t.co/ovOu9Itr4j",,2,2,False,0,1,0,2,0,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0,now heres a good reason to get back on the twitter share this today is is matching donations to hundreds of nonprofit news organizations around the country you can choose a nonprofit to support here ,True,"['here', 'good', 'reason', 'get', 'back', 'twitter', 'share', 'today', 'matching', 'donation', 'hundred', 'nonprofit', 'news', 'organization', 'around', 'country', 'choose', 'nonprofit', 'support']",positive,"[('today', 'DATE')]"
6,1587906211512553474,TweetDeck,2022-11-02 20:35:17+00:00,"Love my @nytimes blue bag print product. Love it more after seeing full-page ad for @NewsMatch 2022, the matching gifts program and collaborative funding movement to help @INN's nonprofit members rebuild local journalism.  Learn how you can help here https://t.co/ovOu9Itr4j https://t.co/EWCxfCKp7p",,4,1,False,1,1,0,0,3,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0,love my blue bag print product love it more after seeing fullpage ad for 2022 the matching gifts program and collaborative funding movement to help nonprofit members rebuild local journalism learn how you can help here ,True,"['love', 'blue', 'bag', 'print', 'product', 'love', 'seeing', 'fullpage', 'ad', '2022', 'matching', 'gift', 'program', 'collaborative', 'funding', 'movement', 'help', 'nonprofit', 'member', 'rebuild', 'local', 'journalism', 'learn', 'help']",positive,"[('2022', 'DATE')]"
7,1587583090435801088,Twitter Web App,2022-11-01 23:11:19+00:00,Thank you @evanasmith for everything you did for the Texas Tribune and congrats @peterlattman and @amyjlow for bringing Evan to Emerson Collective. What an inspiring move! https://t.co/I5HQagThv0,,3,0,True,0,1,0,0,3,0,0,False,,,,,,,,1.5868570833197711e+18,78670.0,5714.0,2089.0,44877.0,58.0,391.0,"🙋‍♂️🚨NEWS ABOUT ME: As @semaforben scooped, I’m joining Emerson Collective on 1/1 as a senior advisor. Excited to partner w @laurenepowell @peterlattman @amyjlow + team to strengthen democracy by enabling reliable, credible, independent journalism https://t.co/O4ADkJMc5u #txlege",0,1,0,1,4,thank you for everything you did for the texas tribune and congrats and for bringing evan to emerson collective what an inspiring move ,True,"['thank', 'everything', 'texas', 'tribune', 'congrats', 'bringing', 'evan', 'emerson', 'collective', 'inspiring', 'move']",positive,"[('texas', 'GPE'), ('evan emerson', 'PERSON')]"
8,1587550951296188419,TweetDeck,2022-11-01 21:03:36+00:00,"RT @jcstearns: It is @NewsMatch 2022 launch day. Each year this remarkable program expands giving to nonprofit journalism, helping hundreds…",,0,1,False,0,0,0,0,2,0,0,True,1.5875032283499807e+18,16058.0,1221.0,2179.0,70363.0,1.0,2.0,,,,,,,,,0,0,0,0,0,rt it is 2022 launch day each year this remarkable program expands giving to nonprofit journalism helping hundreds,True,"['rt', '2022', 'launch', 'day', 'year', 'remarkable', 'program', 'expands', 'giving', 'nonprofit', 'journalism', 'helping', 'hundred']",positive,"[('2022', 'DATE'), ('day year', 'DATE'), ('hundred', 'CARDINAL')]"
9,1582334888732069889,TweetDeck,2022-10-18 11:36:50+00:00,Thrilled to see so many friends for the first time since KMF Feb. 2020 today @MediaFunders  in Philadelphia! Thank you MIF team for convening the Journalism Funders Network @ConstitutionCtr https://t.co/eWxrZxatkT,,10,3,False,0,1,0,0,2,0,0,False,,,,,,,,,,,,,,,,0,0,0,0,0,thrilled to see so many friends for the first time since kmf feb 2020 today in philadelphia thank you mif team for convening the journalism funders network ,True,"['thrilled', 'see', 'many', 'friend', 'first', 'time', 'since', 'kmf', 'feb', '2020', 'today', 'philadelphia', 'thank', 'mif', 'team', 'convening', 'journalism', 'funders', 'network']",positive,"[('first', 'ORDINAL'), ('feb 2020', 'DATE'), ('philadelphia', 'GPE')]"
